Model,Metric,N,Mean,SD,Median,Q1,Q3,IQR,Minimum,Maximum
Proposed,PSNR,1110,31.713020884368547,0.7423351295388786,31.700549435135322,31.22001183361882,32.2159768696475,0.9959650360286787,29.093183114821763,34.241708675384935
ELAN,PSNR,1110,27.67903646173913,0.5836262552784189,27.666368601148626,27.295420575419616,28.053003125711868,0.757582550292252,25.478878265343766,29.96288656053629
EDSR,PSNR,1110,30.447030687810464,0.6656743554173286,30.448230073730638,30.00305560369643,30.897173700091024,0.8941180963945925,28.12744843232716,32.87850085324324
SwinIR,PSNR,1110,28.34240753498897,0.6373229485254515,28.320824001174245,27.93764771576644,28.763890282540576,0.8262425667741375,26.16816689064713,30.431171147486648
DAT,PSNR,1110,31.18622269707809,0.7005027410670203,31.1738125581066,30.721091999820608,31.65270372204487,0.931611722224261,28.665556845436303,33.57204998558756
GRL,PSNR,1110,31.26796606496916,0.7364225194617784,31.27320483034674,30.777403853929446,31.76092027253381,0.9835164186043635,28.52170659470312,33.913489418433265
ESRGAN,PSNR,1110,29.313380703656456,0.693765864369661,29.32348730826428,28.880892059545236,29.763308945902878,0.8824168863576425,27.03940833645707,31.653729439404596
Proposed,SSIM,1110,0.923972989849145,0.010673661805045087,0.9245963436801536,0.9181875842210883,0.9310249953340881,0.012837411112999852,0.8753482226112361,0.9513160466996664
ELAN,SSIM,1110,0.8776745287028559,0.011254056182879344,0.8781910219501586,0.8710757520934177,0.8854493723268374,0.014373620233419704,0.828804113490244,0.9078593986131988
EDSR,SSIM,1110,0.9105054795331179,0.011270941632979804,0.9109817268582373,0.9039499370359498,0.9184115409130418,0.014461603877091944,0.8638126471447916,0.941612362036785
SwinIR,SSIM,1110,0.8907211325218005,0.011647809396948839,0.8909936404430847,0.8839848143908736,0.8990083910513773,0.01502357666050369,0.8418763801906932,0.9217782399582728
DAT,SSIM,1110,0.9166902281540492,0.011000612990940163,0.9172704974691148,0.9104706579253264,0.9241519632684473,0.013681305343120842,0.8689787221382729,0.9458723489423796
GRL,SSIM,1110,0.9188668383419878,0.010970752248973276,0.9193502194949449,0.9126993739819209,0.9261985279228351,0.013499153940914166,0.8702925102717136,0.9485219897342037
ESRGAN,SSIM,1110,0.8760849949968956,0.013189402983784253,0.8760313061607915,0.8686067697199009,0.8848219405315798,0.016215170811678892,0.8233882273695801,0.9176529393429266
Proposed,LPIPS,1110,0.06284830317169691,0.013249568834967862,0.0610939115285873,0.054513145238161045,0.06838226877152913,0.013869123533368083,0.0321367084980011,0.163794919848442
ELAN,LPIPS,1110,0.10116411150173019,0.011843324212924687,0.1000420190393924,0.09292299114167688,0.10828449577093122,0.015361504629254341,0.0683352276682853,0.1639736741781234
EDSR,LPIPS,1110,0.07384772137948517,0.01279859708911069,0.07256523892283435,0.06573283858597273,0.07938178628683082,0.013648947700858088,0.0454295650124549,0.1641607880592346
SwinIR,LPIPS,1110,0.09487777432208658,0.013210624943316101,0.09282409772276876,0.08645976521074768,0.10089384205639357,0.01443407684564589,0.0650131925940513,0.1810674369335174
DAT,LPIPS,1110,0.07185119860679712,0.013180947852281898,0.07031570747494695,0.06341445073485368,0.07758839800953862,0.014173947274684948,0.0405406653881073,0.1655687540769577
GRL,LPIPS,1110,0.0702143192828238,0.013128576041689653,0.0686230026185512,0.06176663562655445,0.07595665566623208,0.014190020039677634,0.0383997522294521,0.1631838232278823
ESRGAN,LPIPS,1110,0.041961385237539624,0.00670887985525572,0.0413820948451757,0.03794449381530277,0.045698853209614726,0.0077543593943119535,0.0235995948314666,0.0863041058182716
Proposed,DISTS,1110,0.09597748700562893,0.009918313156159772,0.09496054053306575,0.0898250192403793,0.10098576545715325,0.011160746216773945,0.0719188451766967,0.181756854057312
ELAN,DISTS,1110,0.14759318028484375,0.014830960896321655,0.14610829949378965,0.13883186876773834,0.15489557385444638,0.01606370508670804,0.1141191124916076,0.2719771862030029
EDSR,DISTS,1110,0.11150653319315862,0.01989513291947794,0.10688227415084835,0.10124979913234709,0.11383081972599027,0.012581020593643175,0.0831736326217651,0.2394431233406067
SwinIR,DISTS,1110,0.14627197304287468,0.018287559691262095,0.1438844501972198,0.13619062304496757,0.15193936228752133,0.015748739242553766,0.1106990575790405,0.2770947813987732
DAT,DISTS,1110,0.10449712142214039,0.01401537175750263,0.10262575745582575,0.0966714173555374,0.10861907899379727,0.011947661638259874,0.0765042304992675,0.213188350200653
GRL,DISTS,1110,0.10041661348428807,0.011660935766736649,0.0993486642837524,0.09336633980274198,0.10538633167743683,0.012019991874694852,0.0751707553863525,0.2047744989395141
ESRGAN,DISTS,1110,0.06822744301847504,0.009405072394846182,0.06697610020637505,0.06255087256431574,0.07237398624420163,0.009823113679885892,0.0459386706352233,0.1663116216659546
